date,days_since_application,plate_number,treatment,replicate,green_filament_(cyanobacteria),%cyano,green_patch_(probably_algae_but_lump_of_several_types_of_green),%green,fungi,%fungi,yellow_orange_goo_(diatoms),%diatom,branching_algae ,%algae,moss_(looks_like_little_plant),%moss,dead_diatom_mat,%deadDiatom,dead_cyano,%deadCyano,num_counts
1-Oct-18,19,13,ctrl,2,35,23.80952381,18,12.24489796,8,5.442176871,66,44.89795918,0,0,0,0,9,6.12244898,0,0,147
1-Oct-18,19,14,prmx,2,46,32.62411348,15,10.63829787,8,5.673758865,62,43.97163121,0,0,0,0,10,7.092198582,1,0.709219858,141
1-Oct-18,19,15,glax,3,1,0.869565217,1,0.869565217,56,48.69565217,19,16.52173913,0,0,0,0,9,7.826086957,1,0.869565217,115
1-Oct-18,19,16,glax,4,0,0,2,1.818181818,58,52.72727273,6,5.454545455,0,0,0,0,12,10.90909091,1,0.909090909,110
1-Oct-18,19,17,glax,5,2,1.923076923,2,1.923076923,49,47.11538462,4,3.846153846,0,0,0,0,6,5.769230769,0,0,104
1-Oct-18,19,18,glax,1,2,1.818181818,3,2.727272727,55,50,5,4.545454545,0,0,0,0,12,10.90909091,2,1.818181818,110
1-Oct-18,19,19,ctrl,1,32,25.80645161,12,9.677419355,5,4.032258065,44,35.48387097,0,0,0,0,9,7.258064516,0,0,124
1-Oct-18,19,20,prmx,5,37,27.6119403,11,8.208955224,15,11.19402985,47,35.07462687,0,0,0,0,12,8.955223881,0,0,134
1-Oct-18,19,21,agri,1,1,0.917431193,2,1.834862385,42,38.53211009,21,19.26605505,0,0,0,0,9,8.256880734,1,0.917431193,109
1-Oct-18,19,22,gly,2,37,27.81954887,9,6.766917293,17,12.78195489,51,38.34586466,0,0,0,0,8,6.015037594,0,0,133
1-Oct-18,19,23,glax,2,2,1.904761905,1,0.952380952,19,18.0952381,13,12.38095238,0,0,0,0,9,8.571428571,2,1.904761905,105
1-Oct-18,19,24,agri,2,0,0,1,0.934579439,57,53.27102804,2,1.869158879,0,0,0,0,13,12.14953271,3,2.803738318,107
